recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,conversion,score
10,142.44,1,0,Surburban,0,Phone,Buy One Get One,0,1.6781453950741385
6,329.08,1,1,Rural,1,Web,No Offer,0,0.553189095962968
7,180.65,0,1,Surburban,1,Web,Buy One Get One,0,1.4234060672302529
9,675.83,1,0,Rural,1,Web,Discount,0,1.4556334776741566
2,45.34,1,0,Urban,0,Web,Buy One Get One,0,0.8243909821485846
6,134.83,0,1,Surburban,0,Phone,Buy One Get One,1,2.4950314911630462
9,280.2,1,0,Surburban,1,Phone,Buy One Get One,0,1.5556057041564952
9,46.42,0,1,Urban,0,Phone,Buy One Get One,0,0.6347525731876965
9,675.07,1,1,Rural,1,Phone,Discount,0,1.2802439127361962
10,32.84,0,1,Urban,1,Web,Buy One Get One,0,0.3026960489115198
7,548.91,0,1,Urban,1,Phone,Buy One Get One,1,1.7839303152725865
1,211.45,0,1,Urban,1,Phone,Buy One Get One,0,0.982748572078782
5,642.9,0,1,Surburban,1,Multichannel,Buy One Get One,0,0.6918599776349088
2,101.64,0,1,Urban,0,Web,Discount,1,1.8576147653317767
4,241.42,0,1,Rural,1,Multichannel,No Offer,0,1.2552063311839927
3,58.13,1,0,Urban,1,Web,No Offer,1,1.520910324207191
5,29.99,1,0,Surburban,0,Phone,Discount,0,1.3691638377222888
9,112.35,1,0,Rural,0,Web,Discount,0,1.4874267240545176
11,219.04,1,1,Surburban,0,Phone,Discount,0,1.1009766631541829
5,828.42,1,0,Surburban,1,Multichannel,Discount,0,1.519074037189368
9,29.99,0,1,Surburban,1,Phone,No Offer,0,1.2503051915173473
11,182.32,1,0,Surburban,0,Phone,Discount,0,1.1939268321365109
2,118.4,1,0,Surburban,0,Web,Discount,1,1.4771969733234802
2,29.99,0,1,Urban,1,Phone,No Offer,0,0.47493982514195665
4,78.24,1,0,Surburban,0,Web,No Offer,0,1.4097506910682178
6,139.87,0,1,Rural,1,Web,Discount,0,0.9751329192721506
12,115.39,0,1,Surburban,0,Phone,Discount,1,1.6307770166884659
6,162.98,0,1,Surburban,0,Web,Discount,0,0.8418324018658487
7,435.73,0,1,Urban,1,Web,No Offer,0,0.6877517342846307
2,203.35,1,0,Rural,0,Web,No Offer,0,0.7230681712537195
2,237.53,0,1,Surburban,0,Phone,Buy One Get One,0,0.7848686874072095
9,334.24,1,0,Urban,0,Web,Discount,0,1.0653539332673199
6,128.01,0,1,Urban,0,Web,Discount,0,0.7499870133212359
9,29.99,1,0,Surburban,1,Phone,Discount,0,1.4303901651501802
3,29.99,1,0,Rural,0,Web,Buy One Get One,0,0.9474578692028786
4,218.72,0,1,Urban,0,Multichannel,Buy One Get One,0,0.5417397676142883
1,514.52,0,1,Surburban,1,Web,Discount,0,1.9968866723113359
4,766.47,1,1,Urban,1,Multichannel,Discount,0,0.7720386132761055
10,63.79,1,0,Rural,1,Phone,Buy One Get One,0,1.5690580522483455
7,520.43,0,1,Surburban,1,Web,Discount,0,0.39528147385627654
11,236.97,1,1,Urban,1,Phone,Discount,0,0.744972196450917
3,99.23,1,0,Rural,0,Web,Discount,1,1.5721236696337142
9,204.18,0,1,Surburban,0,Web,Buy One Get One,0,1.1830336599545634
2,492.02,1,0,Surburban,0,Phone,No Offer,0,1.2619240802868177
1,48.32,0,1,Urban,0,Web,No Offer,0,0.9644774385624126
10,29.99,1,0,Surburban,0,Phone,No Offer,0,1.4679414584295176
2,391.33,1,0,Surburban,0,Web,No Offer,0,0.9809159985579067
1,729.7,1,1,Surburban,1,Web,Discount,0,0.8456112553712128
3,134.59,1,0,Urban,1,Phone,Buy One Get One,1,2.3463224202027373
10,61.09,0,1,Surburban,0,Web,Buy One Get One,0,0.956277579083271
3,203.3,0,1,Surburban,0,Web,No Offer,0,0.9262827321335163
9,185.43,1,0,Urban,0,Web,Discount,0,0.5053601038478293
7,29.99,0,1,Urban,1,Phone,Discount,0,1.4024215566561768
9,78.62,1,0,Urban,0,Web,Discount,0,1.3443137702287087
12,150.06,0,1,Surburban,0,Phone,No Offer,0,0.9545308791351299
6,42.66,1,0,Surburban,0,Web,No Offer,0,0.6782763501092286
12,69.08,0,1,Rural,0,Phone,Buy One Get One,0,1.0167977255019998
3,549.29,1,0,Surburban,1,Multichannel,No Offer,0,0.40462520651053346
9,506.83,1,0,Rural,1,Multichannel,Discount,0,1.061842411864689
3,143.93,0,1,Surburban,0,Phone,Buy One Get One,0,0.9991453652887493
10,115.4,1,0,Urban,0,Phone,Discount,0,1.1800698400549499
2,96.91,1,0,Surburban,0,Phone,Buy One Get One,0,0.6318873154480684
6,40.07,1,0,Surburban,1,Phone,Discount,0,1.1619683993181489
11,417.21,0,1,Urban,0,Phone,No Offer,0,1.8062917450819098
9,61.57,1,0,Surburban,1,Phone,Buy One Get One,0,0.5041405750420971
5,222.07,0,1,Surburban,0,Phone,Buy One Get One,0,1.555092699997057
1,259.91,0,1,Surburban,1,Web,No Offer,0,1.4095000658251347
11,53.81,1,0,Urban,1,Phone,No Offer,0,0.2924923507291659
9,154.15,0,1,Surburban,0,Web,Discount,0,1.5395786600449104
10,1009.44,1,0,Surburban,1,Multichannel,Buy One Get One,0,1.2572426313004326
2,278.8,1,0,Rural,0,Web,Discount,0,0.0935656240177205
10,31.12,1,0,Urban,0,Phone,Buy One Get One,0,1.2518423662087201
2,428.74,1,0,Rural,0,Phone,Discount,0,0.6571167055311038
7,612.28,1,0,Surburban,1,Phone,Buy One Get One,0,1.2759114822944513
11,228.09,0,1,Surburban,1,Web,No Offer,0,1.1002371713513635
1,640.58,0,1,Urban,1,Phone,Discount,0,1.5672581853074758
4,194.11,1,0,Urban,0,Phone,No Offer,0,0.9526998155997561
7,84.49,0,1,Urban,1,Web,No Offer,0,1.7498457337020574
7,235.14,0,1,Urban,1,Phone,Discount,0,1.2081281066198721
2,29.99,0,1,Surburban,0,Phone,Discount,0,0.9043900140558145
7,272.32,1,0,Surburban,1,Web,Discount,0,1.261552191871558
2,95.33,0,1,Surburban,0,Web,No Offer,1,2.5213963492875866
5,494.26,1,1,Surburban,1,Phone,Discount,0,1.3781727299686057
2,809.07,1,0,Urban,1,Phone,Discount,0,0.9363577598264362
1,80.42,0,1,Urban,1,Phone,Buy One Get One,0,0.8231158127325717
10,237.85,1,0,Urban,0,Web,Buy One Get One,0,-0.22130417676922898
